timestamp,operation,file_size_mb,storage_class,iterations,upload_time_mean_s,upload_time_stdev_s,upload_time_ci95_s,download_time_mean_s,download_time_stdev_s,download_time_ci95_s,ttfb_mean_ms,ttfb_stdev_ms,ttfb_ci95_ms,upload_throughput_mbps,download_throughput_mbps,upload_vs_download_ratio,storage_cost_usd,operation_cost_put_usd,operation_cost_get_usd,transfer_cost_usd,monitoring_cost_usd,total_cost_usd,cost_per_gb_usd,cost_efficiency_mbps_per_cent,part_size_mb
2025-04-23T21:56:57.549609,single_put,1.0,STANDARD,6,0.11610706647237141,0.021321622686134415,0.017060851382598594,0.0508347749710083,0.012612756803232296,0.010092307349793845,43.7690814336141,9.89170217531574,7.915010185586638,8.612740209382155,19.671573260043196,2.2840086641199595,7.486979166666667e-07,5e-06,4.0000000000000003e-07,8.7890625e-05,0.0,9.403932291666666e-05,0.09629626666666666,9158658.253010148,
2025-04-23T21:56:58.933856,single_put,1.0,INTELLIGENT_TIERING,6,0.1057287057240804,0.0270265349533695,0.021625731916074878,0.042923808097839355,0.005083418864965451,0.004067582240214437,42.54873593648275,11.499927274528934,9.20185827455897,9.458169313163582,23.29709418420256,2.4631716152277376,7.486979166666667e-07,5e-06,4.0000000000000003e-07,8.7890625e-05,2.5e-06,9.653932291666666e-05,0.09885626666666666,9797219.44116796,
2025-04-23T21:57:01.667949,single_put,1.0,GLACIER_IR,6,0.3235551118850708,0.13746441523884945,0.10999444054091478,0.04901341597239176,0.006144609191328932,0.004916711347940011,46.28018538157145,13.88697841913604,11.111896990668862,3.0906635786833356,20.402577134458028,6.601358127483355,1.3020833333333334e-07,2.9999999999999997e-05,1e-05,8.7890625e-05,0.0,0.00012802083333333334,0.13109333333333334,2414187.9866037443,
2025-04-23T21:57:05.367064,single_put,10.0,STANDARD,6,0.34242204825083417,0.09077551002798491,0.07263553569842379,0.11910029252370198,0.007772311738119028,0.006219144640877046,41.82779788970947,8.546308666424013,6.8384711695744365,29.203726953571365,83.96285003254643,2.8750731085122165,7.486979166666666e-06,5e-06,4.0000000000000003e-07,0.0008789062499999999,0.0,0.0008917932291666665,0.09131962666666665,3274719.5200013686,
2025-04-23T21:57:10.202402,single_put,10.0,INTELLIGENT_TIERING,6,0.39818588892618817,0.17247090785366914,0.1380054684405813,0.23953755696614584,0.0629671002466533,0.050384173621079276,41.14596048990885,8.877328590721657,7.103342273254258,25.11389850345426,41.74710691156174,1.6623108875676822,7.486979166666666e-06,5e-06,4.0000000000000003e-07,0.0008789062499999999,2.5e-06,0.0008942932291666665,0.09157562666666666,2808239.8126681847,
2025-04-23T21:57:15.950303,single_put,10.0,GLACIER_IR,6,0.610844095547994,0.2629277058647115,0.2103859814123136,0.1714096466700236,0.0641041570437322,0.05129400854847212,42.46091842651367,10.93955599591607,8.753467866182218,16.37078932723235,58.339773719099654,3.5636506311918064,1.3020833333333333e-06,2.9999999999999997e-05,1e-05,0.0008789062499999999,0.0,0.0009202083333333332,0.09422933333333332,1779030.7622982862,
2025-04-23T21:57:40.539976,single_put,100.0,STANDARD,6,1.2838200330734253,0.46738226586171827,0.3739837016210995,1.6048437356948853,0.04428099948446831,0.03543217898554816,54.36201890309652,12.04000763153451,9.634012564181823,77.89253744592465,62.31136264285616,0.799965756490018,7.486979166666666e-05,5e-06,4.0000000000000003e-07,0.0087890625,0.0,0.008869332291666667,0.09082196266666667,878223.2403121248,
2025-04-23T21:58:17.669428,multipart,100.0,STANDARD,6,3.2389665842056274,0.395457414627833,0.3164318344072209,1.627238670984904,0.09148366717691571,0.07320217943146809,57.266791661580406,18.581500587738272,14.868297064426935,30.87404497707268,61.453800098957764,1.9904680499297667,7.486979166666666e-05,5e-06,4.0000000000000003e-07,0.0087890625,0.0,0.008869332291666667,0.09082196266666667,348098.8642863332,5.0
2025-04-23T21:58:49.151221,single_put,100.0,INTELLIGENT_TIERING,6,1.8273442188898723,1.2154289296836007,0.9725456941383595,2.0637433528900146,0.33542965453750856,0.2683996227502112,84.72001552581787,79.46488810096659,63.5851532494787,54.72422708664648,48.455637596585106,0.8854512923474254,7.486979166666666e-05,5e-06,4.0000000000000003e-07,0.0087890625,2.5e-06,0.008871832291666668,0.09084756266666667,616831.1718206065,
2025-04-23T21:59:27.945633,multipart,100.0,INTELLIGENT_TIERING,6,3.13010307153066,0.1433343920016272,0.11469140017870935,2.0575083096822104,0.2725099225740878,0.2180533516496096,54.76431051890055,9.873504577692726,7.9004490748711556,31.947829740666887,48.60247685485429,1.5213076208737724,7.486979166666666e-05,5e-06,4.0000000000000003e-07,0.0087890625,2.5e-06,0.008871832291666668,0.09084756266666667,360104.0764789429,5.0
2025-04-23T21:59:56.591392,single_put,100.0,GLACIER_IR,6,1.280329942703247,0.11459385774459746,0.09169418318290641,2.2408872842788696,0.21285681711615909,0.17032092613445213,48.62781365712484,11.04545849179462,8.838207511462837,78.10486708516966,44.62518070478524,0.5713495505487973,1.3020833333333334e-05,2.9999999999999997e-05,1e-05,0.0087890625,0.0,0.008842083333333334,0.09054293333333334,883331.0447406209,
2025-04-23T22:00:54.193283,multipart,100.0,GLACIER_IR,6,6.324241399765015,0.9236926613888377,0.7391080618549775,1.5589603980382283,0.13960563591390546,0.11170777391390588,152.07370122273764,74.8194143416796,59.868000077056344,15.812173141226967,64.14531127656511,4.056704331760667,1.3020833333333334e-05,2.9999999999999997e-05,1e-05,0.0087890625,0.0,0.008842083333333334,0.09054293333333334,178828.59214431327,5.0
2025-04-23T22:05:01.478083,single_put,1000.0,STANDARD,6,9.657583793004354,1.2178230850619298,0.9744614174253626,16.930755933125813,1.6130546774110024,1.2907125563764483,78.71496677398682,21.32970384063596,17.067317652918646,103.5455680668666,59.06410817980392,0.5704165739055302,0.0007486979166666667,5e-06,4.0000000000000003e-07,0.087890625,0.0,0.08864472291666667,0.09077219626666667,116809.62460022347,
2025-04-23T22:11:34.109070,multipart,1000.0,STANDARD,6,32.11037166913351,2.2162222422817233,1.7733471257310254,15.917893369992575,2.2716607045017736,1.8177071342884963,108.96952946980794,25.060058304249196,20.05222288480356,31.142585651266767,62.82238338680783,2.0172500796911974,0.0007486979166666667,5e-06,4.0000000000000003e-07,0.087890625,0.0,0.08864472291666667,0.09077219626666667,35131.911552753525,5.0
2025-04-23T22:15:48.417828,single_put,1000.0,INTELLIGENT_TIERING,6,9.252711335817972,0.42002275362557595,0.3360881994021888,18.07864264647166,2.179842933544423,1.744237616154516,103.02905241648357,29.152242927366906,23.326652543038172,108.0764290277728,55.31388719579377,0.5118034310846776,0.0007486979166666667,5e-06,4.0000000000000003e-07,0.087890625,2.5e-06,0.08864722291666667,0.09077475626666667,121917.44475669664,
2025-04-23T22:22:21.748701,multipart,1000.0,INTELLIGENT_TIERING,6,31.630210717519123,1.8780967069337,1.502790349065728,16.92135226726532,3.1382152072220793,2.511095147173979,106.06988271077473,38.1436585347687,30.521283442159056,31.61534423310455,59.09693174667365,1.869248403906133,0.0007486979166666667,5e-06,4.0000000000000003e-07,0.087890625,2.5e-06,0.08864722291666667,0.09077475626666667,35664.22409286835,5.0
2025-04-23T22:26:23.834088,single_put,1000.0,GLACIER_IR,6,9.028902769088745,0.2307605581253117,0.184646902587845,15.911953727404276,1.5050867908758245,1.2043202543746023,112.31577396392822,32.38427275634214,25.912815021756582,110.75542904544163,62.8458338386037,0.5674289231710602,0.00013020833333333333,2.9999999999999997e-05,1e-05,0.087890625,0.0,0.08806083333333334,0.09017429333333334,125771.49778517688,
2025-04-23T22:36:06.098110,multipart,1000.0,GLACIER_IR,6,59.302228013674416,3.9654136896345085,3.1729917851595637,15.740078250567118,1.6345598178785823,1.3079202525673148,145.25377750396729,34.5349995918077,27.633754907270372,16.86277284167825,63.532085678415854,3.7675942310857153,0.00013020833333333333,2.9999999999999997e-05,1e-05,0.087890625,0.0,0.08806083333333334,0.09017429333333334,19149.00439091717,5.0
